[contents]
count=2
Name=,C:\MassHunter\GCMS\1\data\JTB-E18\JTB-E18-023-08.D
1=,INT TIC: JTB-E18-023-08.D\data.ms
2=,PBM Apex
[INT TIC: JTB-E18-023-08.D\data.ms]
Time=,Wed Sep 11 11:23:20 2019
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  2.286,   18,  24,  35,"BV  ",2101865, 33065986, 16.71,  2.169
2=,  2,  2.391,   35,  37,  40,"VV  ", 168310,  3164681,  1.60,  0.208
3=,  3,  2.426,   40,  42,  48,"VV 2",  86177,  2516062,  1.27,  0.165
4=,  4,  2.501,   48,  51,  61,"VV 4", 111574,  3440257,  1.74,  0.226
5=,  5,  2.625,   61,  66,  69,"VV 6",  56969,  1503272,  0.76,  0.099
6=,  6,  2.684,   69,  73,  84,"VV 3",  63385,  2021516,  1.02,  0.133
7=,  7,  2.840,   88,  93, 107,"VV  ", 471543,  8625438,  4.36,  0.566
8=,  8,  3.069,  111, 121, 139,"VV  ",5121279,102470360, 51.79,  6.722
9=,  9,  3.234,  139, 141, 145,"VV 3",  55840,  1352090,  0.68,  0.089
10=, 10,  3.315,  145, 151, 161,"VV  ",7601114,197869772,100.00, 12.981
11=, 11,  3.423,  161, 164, 186,"VV 2",3240014, 94122179, 47.57,  6.175
12=, 12,  3.643,  186, 192, 204,"VV  ",1527555, 42035648, 21.24,  2.758
13=, 13,  4.159,  250, 255, 261,"VV 3", 161910,  4567445,  2.31,  0.300
14=, 14,  4.243,  261, 265, 274,"VV 2", 399406,  9848842,  4.98,  0.646
15=, 15,  4.465,  289, 293, 298,"VV 6",  35868,   791483,  0.40,  0.052
16=, 16,  4.961,  346, 354, 369,"VV  ",4831180,151422347, 76.53,  9.934
17=, 17,  5.124,  369, 374, 378,"VV 2", 412082, 14149343,  7.15,  0.928
18=, 18,  5.194,  378, 382, 388,"VV 5", 384271, 12952404,  6.55,  0.850
19=, 19,  5.250,  388, 389, 399,"VV 4", 218096,  9217298,  4.66,  0.605
20=, 20,  5.653,  435, 439, 442,"VV 6", 125606,  3898054,  1.97,  0.256
21=, 21,  5.743,  442, 450, 452,"VV 2", 179495,  6892168,  3.48,  0.452
22=, 22,  5.776,  452, 454, 456,"VV 3", 195655,  4020239,  2.03,  0.264
23=, 23,  5.841,  456, 462, 469,"VV  ",1494186, 43042198, 21.75,  2.824
24=, 24,  5.940,  469, 474, 499,"VV 2", 710636, 26373056, 13.33,  1.730
25=, 25,  6.214,  499, 508, 514,"VV 10", 121150,  5311224,  2.68,  0.348
26=, 26,  6.488,  514, 542, 543,"VV 9", 164488, 16697701,  8.44,  1.095
27=, 27,  6.546,  543, 549, 564,"VV 8", 184028, 10792466,  5.45,  0.708
28=, 28,  6.744,  564, 573, 582,"VV 2", 224669,  8933131,  4.51,  0.586
29=, 29,  6.885,  582, 591, 602,"VV 2",1159994, 33733307, 17.05,  2.213
30=, 30,  7.041,  602, 610, 627,"PV  ", 498680, 16059901,  8.12,  1.054
31=, 31,  7.286,  627, 640, 644,"VV 3", 150231,  5629251,  2.84,  0.369
32=, 32,  7.340,  644, 647, 650,"VV 2",  99076,  2350911,  1.19,  0.154
33=, 33,  7.410,  650, 655, 663,"VV 3", 302032,  9130374,  4.61,  0.599
34=, 34,  7.515,  663, 668, 684,"VV 2", 188771,  6097981,  3.08,  0.400
35=, 35,  8.780,  811, 824, 854,"PV  ",2597708, 88567215, 44.76,  5.810
36=, 36,  9.033,  854, 855, 869,"VV  ",  86141,  5629195,  2.84,  0.369
37=, 37,  9.158,  869, 870, 876,"VV 6",  66934,  2197045,  1.11,  0.144
38=, 38, 10.551, 1033,1042,1047,"PV 10",  30014,   944965,  0.48,  0.062
39=, 39, 11.326, 1129,1137,1157,"VV 2", 272274, 13139203,  6.64,  0.862
40=, 40, 11.572, 1159,1168,1181,"VV 10",  61942,  3240381,  1.64,  0.213
41=, 41, 11.760, 1181,1191,1210,"VV 9",  74018,  4602094,  2.33,  0.302
42=, 42, 11.969, 1210,1217,1237,"VV 5",  78239,  3805204,  1.92,  0.250
